cluster,track_id,name,artist,clusters_for_track,embed_code,weights,embed_code
0,TRAHCDM128F148D60C,American Soldier,Toby Keith,[0],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0oVWPlnK5eAqnJCVB0FvpP?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.7437446074201898, 0.0, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2lwwrWVKdf3LR9lbbhnr6R?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TROXWBT128F9305E67,Red Dirt Road,Brooks & Dunn,[0],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3EZzghqykkfOB0Z8d0kTSt?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.4598792062122519, 0.0, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0oVWPlnK5eAqnJCVB0FvpP?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRGRDUH128F42AE383,She's Everything,Brad Paisley,[0],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3dAgQFdruU8ufWc5GE05xC?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.4961173425366695, 0.0, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4vTcPHQlE3zTULythSilu0?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRYRZFF128F933BBBB,I Never Told You,Colbie Caillat,[0],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3maCmHhpmJ6hzJjEnm0ieT?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.5539257981018119, 0.0, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4gs07VlJST4bdxGbBsXVue?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRUFTBY128F93450B8,Alejandro,Lady Gaga,"[0, 2]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1HHeOs6zRdF8Ck58easiAY?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.5202761000862812, 0.0, 0.537746291786584, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7o3eLXwciMtZExSwQsMU5j?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRRTIKG128EF349E4C,Disco Friends,Just Jack,[0],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7GW9RaGubG8WH6zY1FDoWU?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.5202761000862812, 0.0, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3maCmHhpmJ6hzJjEnm0ieT?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRVODUZ128F934D094,All That We Perceive,Thievery Corporation,[0],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2knKUI1k57Q8Ox12Cxj8Pc?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.446074201898188, 0.0, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1HHeOs6zRdF8Ck58easiAY?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRGMZNT128F92DE267,Tim McGraw,Taylor Swift,"[0, 2]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2Fn01AIMyHbha2ceNQeOqw?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.4935289042277825, 0.0, 0.23112685410670797, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7GW9RaGubG8WH6zY1FDoWU?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
0,TRBVNWT128F93173BA,Help I'm Alive,Metric,"[0, 3]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0cahtHEywK64NSWqm2SDTi?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.47540983606557374, 0.0, 0.0, 0.6335540838852097, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2Fn01AIMyHbha2ceNQeOqw?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRJPSUJ128F423C32A,The Sun In The Stream,Enya,[1],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5KtmZFoj8N6g3tLLk6hYFK?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.9999999999999999, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0cahtHEywK64NSWqm2SDTi?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRIRCYZ128F423C331,Epona,Eluveitie,[1],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/75fAndU7jHOc4iEFR0HcVe?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.8096590909090908, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5KtmZFoj8N6g3tLLk6hYFK?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRIPJIJ128F1453AE0,Lazy Days,Enya,[1],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/29K5Ku7NhBIDfDe4CDRXt6?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.5568181818181818, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/75fAndU7jHOc4iEFR0HcVe?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRNYILG12903CDE93B,Your Heart Is As Black As Night,Melody Gardot,"[1, 3]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0UeHEyiQbw9zOXPdrRhAkD?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.5321969696969696, 0.0, 0.695364238410596, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/29K5Ku7NhBIDfDe4CDRXt6?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRUEXUA128F1453AC4,On My Way Home,Enya,[1],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5n8AUs69mUhEUbcW6sTfLF?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.5028409090909091, 0.0, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0UeHEyiQbw9zOXPdrRhAkD?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
1,TRXJWFS128F92F27DB,Our Love Is Easy,Melody Gardot,"[1, 3]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5x28E57yqcgllKOY4d1y6R?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.4933712121212121, 0.0, 0.6843267108167771, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5n8AUs69mUhEUbcW6sTfLF?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRGCHLH12903CB7352,Party In The U.S.A.,The Barden Bellas,"[0, 2]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1est72o2prNA80flC5ncoN?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.5133735979292493, 0.0, 0.5616559663493469, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5x28E57yqcgllKOY4d1y6R?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRSUSWW128F93463BF,Imma Be,Black Eyed Peas,[2],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/16sbugRbf9xEKlekuQ7Whm?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.325880008855435, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1est72o2prNA80flC5ncoN?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRCKWGF12903CD2DCD,Never Let You Go,Third Eye Blind,[2],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1sxUaLi0G2vB7dl4ogtCxH?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.31569625857870265, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/16sbugRbf9xEKlekuQ7Whm?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRABFDT12903CADD73,Up Up & Away,Kid Cudi,[2],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5CGDrFkXmbdetIgUt77V9g?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.31215408456940447, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1sxUaLi0G2vB7dl4ogtCxH?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
