cluster,track_id,name,artist,clusters_for_track,embed_code,weights,embed_code
2,TRRVJCK12903CD2DCB,U Smile,Justin Bieber,[2],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/6Xw2FLih8m5ItDbyP992HH?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.29621430152756256, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5CGDrFkXmbdetIgUt77V9g?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRBNYBX128F422EC61,Hey There Delilah,Plain White T's,"[0, 2]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4RCWB3V8V0dignt99LZ8vH?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.5944779982743744, 0.0, 0.27186185521363737, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/6Xw2FLih8m5ItDbyP992HH?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRVSJOM12903CD2DC1,One Less Lonely Girl,Justin Bieber,[2],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/69ghzc538EQSVon2Gm3wrr?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.2585787026787691, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4RCWB3V8V0dignt99LZ8vH?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRAAKDG128F42A0ECB,Hips Don't Lie,Shakira,[2],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3ZFTkvIE7kyPt6Nu3PEa7V?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.23334071286251934, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/69ghzc538EQSVon2Gm3wrr?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRLRGVX128E078EC1B,My Name Is,Eminem,[2],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/75IN3CtuZwTHTnZvYM4qnJ?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.21784370157183972, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3ZFTkvIE7kyPt6Nu3PEa7V?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
2,TRNPKRK128F429831C,DVNO,Justice,[2],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7pdDBqpilpdW7c40DpFMW9?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.20721717954394508, 0.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/75IN3CtuZwTHTnZvYM4qnJ?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRZJGCC128F427A496,For Emma,Bon Iver,[3],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2nilAlGEZmwyaLTMMyDdLo?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 1.0, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7pdDBqpilpdW7c40DpFMW9?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRCWYJA128F92F27D6,Baby I'm A Fool,Melody Gardot,"[1, 3]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4nau48vyKaPej19xkRfean?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.9043560606060604, 0.0, 0.8587196467991169, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/2nilAlGEZmwyaLTMMyDdLo?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRRVHTJ128F9308505,Cortֳege,Apocalyptica,[3],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4ZVAj53Z8A2A4ri4NSmuhL?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.7991169977924946, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4nau48vyKaPej19xkRfean?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRKSBXZ128F4259809,Worrisome Heart,Melody Gardot,[3],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3YzKfMzLTilZWoiTU3JXjT?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.6600441501103753, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4ZVAj53Z8A2A4ri4NSmuhL?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRONYHY128F92C9D11,Revelry,Kings of Leon,"[0, 2, 3]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0bTlXQJzw4ddaLQPJ4rGS2?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[1.0, 0.0, 1.0, 0.6556291390728477, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/3YzKfMzLTilZWoiTU3JXjT?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
3,TRUOJJS128F145C256,A Rush of Blood to the Head,Coldplay,[3],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4JJ5zGKnb1IpERyBrfmb1y?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.5673289183222958, 0.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0bTlXQJzw4ddaLQPJ4rGS2?utm_source=generator"" width=""100%"" height=""85"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRTZLNX12903CFA6AA,As Your Voice Fades,Emery,[4],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1GeH6378XxYeoxYU3nFcDI?utm_source=generator"" width=""100%"" height=""352"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.0, 1.0]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4JJ5zGKnb1IpERyBrfmb1y?utm_source=generator"" width=""100%"" height=""85"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRRLGDR128F933A7C9,Injection,Rise Against,[4],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/75rAjnPV6h0RgSORx2dUPi?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.0, 0.781456953642384]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/1GeH6378XxYeoxYU3nFcDI?utm_source=generator"" width=""100%"" height=""85"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRILQPW128F92E2887,Waking the Demon,Bullet for My Valentine,[4],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4RUmLxHGEoeyG3TU78OCLG?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.0, 0.6701986754966887]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/75rAjnPV6h0RgSORx2dUPi?utm_source=generator"" width=""100%"" height=""85"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TROBSUH12903CDCE6C,Absence of Fear,War Of Ages,[4],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5o1tof9i6MeYjKXL7jm1hO?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.0, 0.647682119205298]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/4RUmLxHGEoeyG3TU78OCLG?utm_source=generator"" width=""100%"" height=""85"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRBCLDH128F4293B4F,Dead Alone,In Flames,[4],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7sYhRV2zKOPx9HsdRqfSKA?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.0, 0.6397350993377483]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/5o1tof9i6MeYjKXL7jm1hO?utm_source=generator"" width=""100%"" height=""85"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRDUOIP128F147D5A7,Way Away,Yellowcard,[4],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/63IIUzd6eJBfCGIcF8MFnJ?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.0, 0.5973509933774834]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/7sYhRV2zKOPx9HsdRqfSKA?utm_source=generator"" width=""100%"" height=""85"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRDJZFF128F92D2627,Kotov Syndrome,Rise Against,[4],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/0iCYiErdXflEjqBt6qgSYd?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.0, 0.49933774834437084]","<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/63IIUzd6eJBfCGIcF8MFnJ?utm_source=generator"" width=""100%"" height=""85"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>"
4,TRRZEOQ128F930C163,By Your Command,Devin Townsend,[4],"<iframe style=""border-radius:12px"" src=""https://open.spotify.com/embed/track/6r0ihYKzTNrqSO2SrhAujL?utm_source=generator"" width=""100%"" height=""152"" frameBorder=""0"" allowfullscreen="""" allow=""autoplay; clipboard-write; encrypted-media; fullscreen; picture-in-picture"" loading=""lazy""></iframe>","[0.0, 0.0, 0.0, 0.0, 0.4940397350993377]",
